game_date,book,player,team,opponent,market,line,over_dec,under_dec,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-12,mgm,Austin Reaves,LAL,@OKC,AST,5.5,1.8,1.9090909090909092,0.5555555555555556,0.5238095238095238,0.5147058823529411,0.48529411764705876,0.886115041948101,0.37140915959515985,0.5950070755065818,0.25,38.0,8.692208021879196,2.646667861303865,0.7
2025-11-12,betrivers,Kristaps Porzingis,ATL,@SAC,AST,2.5,1.8849557522123894,1.847457627118644,0.5305164319248826,0.5412844036697247,0.4949766918501849,0.5050233081498151,0.8004832830464096,0.3055065911962247,0.508875568928188,0.25,26.4,4.043413138389587,1.83010073274031,0.7
2025-11-12,caesars,Miles McBride,NYK,ORL,AST,1.5,1.7575757575757576,1.9803921568627452,0.5689655172413793,0.504950495049505,0.5298044825941821,0.4701955174058178,0.8301504803787383,0.3003459977845562,0.45905235945354006,0.25,20.6,2.8953199207782747,1.4614351287706853,0.7
2025-11-12,mgm,Moussa Diabate,CHA,MIL,AST,0.5,1.4545454545454546,2.6,0.6875,0.38461538461538464,0.641255605381166,0.3587443946188341,0.9326321686808694,0.2913765632997034,0.3565558817176282,0.25,20.2,2.6237688660621643,1.4199302195170387,0.7
2025-11-12,fanduel,Mikal Bridges,NYK,ORL,AST,4.5,2.3600000000000003,1.5747126436781609,0.423728813559322,0.635036496350365,0.4002103295162421,0.5997896704837579,0.6885136957112448,0.2883033661950027,0.6248923218785377,0.25,32.6,5.598957997560501,2.2352819915553668,0.7
2025-11-12,mgm,Dennis Schroder,SAC,ATL,AST,3.5,1.7407407407407407,2.0,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,0.8010496756636105,0.26639621031707583,0.3944198057848035,0.25,31.4,5.324914863705635,2.158700669011177,0.7
2025-11-12,draftkings,Ja Morant,MEM,@BOS,AST,7.5,1.99009900990099,1.7692307692307692,0.5024875621890548,0.5652173913043478,0.47062398703403574,0.5293760129659644,0.7366233579429419,0.26599937090890613,0.46595341531219125,0.25,33.2,9.044174444675447,2.4395700141994223,0.7
2025-11-12,fanduel,Norman Powell,MIA,CLE,AST,2.5,2.58,1.4878048780487805,0.3875968992248062,0.6721311475409836,0.36575128912339616,0.634248710876604,0.6146664545559843,0.24891516543258818,0.5858394527544396,0.25,29.6,3.0742308080196383,1.9699006333268874,0.7
2025-11-12,fanduel,Alex Sarr,WAS,@HOU,AST,3.5,2.34,1.5555555555555556,0.42735042735042733,0.6428571428571429,0.3993154592127781,0.600684540787222,0.6407624529658829,0.24144699375310474,0.49938413994016595,0.25,29.4,4.221373924612998,2.001050879903654,0.7
2025-11-12,draftkings,Stephon Castle,SAS,GSW,AST,6.5,1.900900900900901,1.847457627118644,0.5260663507109005,0.5412844036697247,0.4928711096627016,0.5071288903372982,0.7320205218894059,0.23914941222670433,0.3914984695375193,0.25,35.4,8.03963539302349,2.4875545047189718,0.7
