player,may_not_play,injury_prob
J. Johnson,1.0,0.5
N. Alexander-Walker,1.0,0.5
N. Durisic,1.0,1.0
Trae Young,1.0,1.0
B. Beal,1.0,0.5
J. Miller,1.0,0.5
K. Leonard,1.0,1.0
A. Reaves,0.0,0.25
A. Thiero,1.0,1.0
G. Vincent,1.0,1.0
L. James,1.0,1.0
B. Wesley,1.0,1.0
D. Lillard,0.0,0.0
M. Thybulle,1.0,1.0
S. Henderson,1.0,1.0
B. Coulibaly,1.0,1.0
B. Miller,1.0,1.0
G. Williams,1.0,1.0
Josh Green,1.0,1.0
L. Ball,1.0,1.0
M. Bridges,0.0,0.25
A. Thompson,1.0,0.5
C. LeVert,1.0,0.5
I. Stewart,1.0,1.0
Jaden Ivey,1.0,1.0
M. Sasser,1.0,1.0
T. Harris,1.0,1.0
J. Suggs,1.0,1.0
M. Wagner,1.0,1.0
L. Nance,1.0,0.5
Max Strus,1.0,1.0
B. Adebayo,1.0,1.0
D. Smith,0.0,0.25
T. Herro,1.0,1.0
T. Rozier,1.0,1.0
D. Harper,1.0,1.0
L. Kornet,1.0,0.5
Coby White,1.0,1.0
J. Giddey,1.0,0.5
P. Williams,0.0,0.25
Z. Collins,1.0,1.0
G. Antetokounmpo,0.0,0.25
K. Porter,1.0,1.0
T. Prince,1.0,1.0
A. Davis,1.0,0.5
D. Gafford,1.0,0.5
D. Lively,1.0,0.5
Dante Exum,1.0,1.0
K. Irving,1.0,1.0
T. Shannon,1.0,1.0
D. Murray,1.0,1.0
J. Poole,1.0,1.0
Z. Williamson,1.0,1.0
J. Green,1.0,1.0
R. O'Neale,0.0,0.25
G. Niang,1.0,1.0
K. Anderson,1.0,0.5
T. Hendricks,1.0,0.5
W. Kessler,0.0,0.0
