name,gameID,playerID,firstName,lastName,team,opponent,logo,playerLink,caesars_pts,caesars_ptsUnder,caesars_ptsOver,draftkings_pts,draftkings_ptsUnder,draftkings_ptsOver,fanduel_pts,fanduel_ptsUnder,fanduel_ptsOver,hardrock_pts,hardrock_ptsUnder,hardrock_ptsOver,mgm_pts,mgm_ptsUnder,mgm_ptsOver,betrivers_pts,betrivers_ptsUnder,betrivers_ptsOver,espnbet_pts,espnbet_ptsUnder,espnbet_ptsOver,draftkings_reb,draftkings_rebUnder,draftkings_rebOver,fanduel_reb,fanduel_rebUnder,fanduel_rebOver,hardrock_reb,hardrock_rebUnder,hardrock_rebOver,mgm_reb,mgm_rebUnder,mgm_rebOver,betrivers_reb,betrivers_rebUnder,betrivers_rebOver,caesars_reb,caesars_rebUnder,caesars_rebOver,espnbet_reb,espnbet_rebUnder,espnbet_rebOver,caesars_ast,caesars_astUnder,caesars_astOver,draftkings_ast,draftkings_astUnder,draftkings_astOver,fanduel_ast,fanduel_astUnder,fanduel_astOver,hardrock_ast,hardrock_astUnder,hardrock_astOver,mgm_ast,mgm_astUnder,mgm_astOver,betrivers_ast,betrivers_astUnder,betrivers_astOver,espnbet_ast,espnbet_astUnder,espnbet_astOver,caesars_threes,caesars_threesUnder,caesars_threesOver,draftkings_threes,draftkings_threesUnder,draftkings_threesOver,fanduel_threes,fanduel_threesUnder,fanduel_threesOver,hardrock_threes,hardrock_threesUnder,hardrock_threesOver,mgm_threes,mgm_threesUnder,mgm_threesOver,betrivers_threes,betrivers_threesUnder,betrivers_threesOver,espnbet_threes,espnbet_threesUnder,espnbet_threesOver,hardrock_blk,hardrock_blkUnder,hardrock_blkOver,mgm_blk,mgm_blkUnder,mgm_blkOver,draftkings_blk,draftkings_blkUnder,draftkings_blkOver,fanduel_blk,fanduel_blkUnder,fanduel_blkOver,betrivers_blk,betrivers_blkUnder,betrivers_blkOver,caesars_blk,caesars_blkUnder,caesars_blkOver,espnbet_blk,espnbet_blkUnder,espnbet_blkOver,hardrock_stl,hardrock_stlUnder,hardrock_stlOver,mgm_stl,mgm_stlUnder,mgm_stlOver,draftkings_stl,draftkings_stlUnder,draftkings_stlOver,fanduel_stl,fanduel_stlUnder,fanduel_stlOver,betrivers_stl,betrivers_stlUnder,betrivers_stlOver,caesars_stl,caesars_stlUnder,caesars_stlOver,espnbet_stl,espnbet_stlUnder,espnbet_stlOver,hardrock_turnovers,hardrock_turnoversUnder,hardrock_turnoversOver,mgm_turnovers,mgm_turnoversUnder,mgm_turnoversOver,draftkings_turnovers,draftkings_turnoversUnder,draftkings_turnoversOver,fanduel_turnovers,fanduel_turnoversUnder,fanduel_turnoversOver,betrivers_turnovers,betrivers_turnoversUnder,betrivers_turnoversOver,caesars_turnovers,caesars_turnoversUnder,caesars_turnoversOver,espnbet_turnovers,espnbet_turnoversUnder,espnbet_turnoversOver,caesars_ptsrebast,caesars_ptsrebastUnder,caesars_ptsrebastOver,draftkings_ptsrebast,draftkings_ptsrebastUnder,draftkings_ptsrebastOver,fanduel_ptsrebast,fanduel_ptsrebastUnder,fanduel_ptsrebastOver,hardrock_ptsrebast,hardrock_ptsrebastUnder,hardrock_ptsrebastOver,mgm_ptsrebast,mgm_ptsrebastUnder,mgm_ptsrebastOver,betrivers_ptsrebast,betrivers_ptsrebastUnder,betrivers_ptsrebastOver,espnbet_ptsrebast,espnbet_ptsrebastUnder,espnbet_ptsrebastOver,caesars_ptsreb,caesars_ptsrebUnder,caesars_ptsrebOver,draftkings_ptsreb,draftkings_ptsrebUnder,draftkings_ptsrebOver,fanduel_ptsreb,fanduel_ptsrebUnder,fanduel_ptsrebOver,hardrock_ptsreb,hardrock_ptsrebUnder,hardrock_ptsrebOver,mgm_ptsreb,mgm_ptsrebUnder,mgm_ptsrebOver,betrivers_ptsreb,betrivers_ptsrebUnder,betrivers_ptsrebOver,espnbet_ptsreb,espnbet_ptsrebUnder,espnbet_ptsrebOver,caesars_ptsast,caesars_ptsastUnder,caesars_ptsastOver,draftkings_ptsast,draftkings_ptsastUnder,draftkings_ptsastOver,fanduel_ptsast,fanduel_ptsastUnder,fanduel_ptsastOver,hardrock_ptsast,hardrock_ptsastUnder,hardrock_ptsastOver,mgm_ptsast,mgm_ptsastUnder,mgm_ptsastOver,betrivers_ptsast,betrivers_ptsastUnder,betrivers_ptsastOver,espnbet_ptsast,espnbet_ptsastUnder,espnbet_ptsastOver,caesars_rebast,caesars_rebastUnder,caesars_rebastOver,draftkings_rebast,draftkings_rebastUnder,draftkings_rebastOver,fanduel_rebast,fanduel_rebastUnder,fanduel_rebastOver,hardrock_rebast,hardrock_rebastUnder,hardrock_rebastOver,mgm_rebast,mgm_rebastUnder,mgm_rebastOver,betrivers_rebast,betrivers_rebastUnder,betrivers_rebastOver,espnbet_rebast,espnbet_rebastUnder,espnbet_rebastOver,hardrock_stlblk,hardrock_stlblkUnder,hardrock_stlblkOver,mgm_stlblk,mgm_stlblkUnder,mgm_stlblkOver,draftkings_stlblk,draftkings_stlblkUnder,draftkings_stlblkOver,fanduel_stlblk,fanduel_stlblkUnder,fanduel_stlblkOver,betrivers_stlblk,betrivers_stlblkUnder,betrivers_stlblkOver,caesars_stlblk,caesars_stlblkUnder,caesars_stlblkOver,espnbet_stlblk,espnbet_stlblkUnder,espnbet_stlblkOver,asof_date,game_date,book
Day'Ron Sharpe,2914950,5418,Day'Ron,Sharpe,BKN,@IND,https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7,/betting/nba/player/dayron-sharpe-odds-5418,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Luka Doncic,2915070,4396,Luka,Doncic,LAL,SAS,https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7,/betting/nba/player/luka-doncic-odds-4396,33.5,,,32.5,,,33.5,,,34.5,,,,,,,,,,,,9.5,,,9.5,,,9.5,,,,,,,,,9.5,,,,,,8.5,,,8.5,,,8.5,,,8.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,4.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,51.5,,,51.5,,,51.5,,,52.5,,,,,,,,,,,,42.5,,,42.5,,,42.5,,,43.5,,,,,,,,,,,,42.5,,,41.5,,,42.5,,,43.5,,,,,,,,,,,,17.5,,,17.5,,,17.5,,,17.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Shai Gilgeous-Alexander,2914895,4387,Shai,Gilgeous-Alexander,OKC,@POR,https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7,/betting/nba/player/shai-gilgeous-alexander-odds-4387,31.5,,,31.5,,,31.5,,,32.5,,,,,,,,,,,,4.5,,,4.5,,,4.5,,,,,,,,,4.5,,,,,,6.5,,,6.5,,,6.5,,,7.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,43.5,,,43.5,,,43.5,,,44.5,,,,,,,,,,,,36.5,,,36.5,,,36.5,,,36.5,,,,,,,,,,,,38.5,,,38.5,,,38.5,,,39.5,,,,,,,,,,,,11.5,,,11.5,,,11.5,,,11.5,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Tyrese Maxey,2914530,5158,Tyrese,Maxey,PHI,@CLE,https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7,/betting/nba/player/tyrese-maxey-odds-5158,30.5,,,30.5,,,30.5,,,31.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,3.5,,,,,,7.5,,,7.5,,,7.5,,,7.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,42.5,,,42.5,,,42.5,,,,,,,,,,,,34.5,,,35.5,,,34.5,,,35.5,,,,,,,,,,,,38.5,,,38.5,,,38.5,,,38.5,,,,,,,,,,,,11.5,,,11.5,,,11.5,,,11.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Cade Cunningham,2914722,5336,Cade,Cunningham,DET,UTA,https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7,/betting/nba/player/cade-cunningham-odds-5336,28.5,,,28.5,,,28.5,,,28.5,,,,,,,,,,,,5.5,,,5.5,,,5.5,,,,,,,,,5.5,,,,,,9.5,,,9.5,,,9.5,,,9.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,44.5,,,44.5,,,43.5,,,43.5,,,,,,,,,,,,33.5,,,33.5,,,33.5,,,33.5,,,,,,,,,,,,38.5,,,38.5,,,38.5,,,38.5,,,,,,,,,,,,15.5,,,15.5,,,14.5,,,15.5,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Jalen Brunson,2915186,4405,Jalen,Brunson,NYK,MIN,https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7,/betting/nba/player/jalen-brunson-odds-4405,27.5,,,26.5,,,27.5,,,27.5,,,,,,27.5,,,,,,3.5,,,2.5,,,2.5,,,,,,2.5,,,2.5,,,,,,6.5,,,6.5,,,6.5,,,6.5,,,,,,6.5,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,2.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,36.5,,,36.5,,,36.5,,,36.5,,,,,,37.5,,,,,,30.5,,,29.5,,,30.5,,,30.5,,,,,,30.5,,,,,,33.5,,,33.5,,,33.5,,,34.5,,,,,,34.5,,,,,,9.5,,,9.5,,,9.5,,,9.5,,,,,,9.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Pascal Siakam,2914950,3922,Pascal,Siakam,IND,BKN,https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7,/betting/nba/player/pascal-siakam-odds-3922,26.5,,,26.5,,,26.5,,,27.5,,,,,,,,,,,,7.5,,,7.5,,,7.5,,,,,,,,,7.5,,,,,,5.5,,,5.5,,,5.5,,,6.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,40.5,,,39.5,,,40.5,,,41.5,,,,,,,,,,,,33.5,,,33.5,,,34.5,,,35.5,,,,,,,,,,,,32.5,,,32.5,,,32.5,,,33.5,,,,,,,,,,,,13.5,,,13.5,,,13.5,,,14.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Victor Wembanyama,2915070,5809,Victor,Wembanyama,SAS,@LAL,https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7,/betting/nba/player/victor-wembanyama-odds-5809,27.5,,,27.5,,,27.5,,,27.5,,,,,,,,,,,,13.5,,,12.5,,,12.5,,,,,,,,,,,,,,,3.5,,,4.5,,,3.5,,,3.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,45.5,,,45.5,,,45.5,,,44.5,,,,,,,,,,,,41.5,,,40.5,,,41.5,,,40.5,,,,,,,,,,,,31.5,,,31.5,,,32.5,,,31.5,,,,,,,,,,,,17.5,,,17.5,,,16.5,,,16.5,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Nikola Jokic,2914810,3612,Nikola,Jokic,DEN,MIA,https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=7,/betting/nba/player/nikola-jokic-odds-3612,26.5,,,26.5,,,26.5,,,25.5,,,,,,,,,,,,12.5,,,12.5,,,12.5,,,,,,,,,12.5,,,,,,9.5,,,9.5,,,9.5,,,9.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,48.5,,,49.5,,,48.5,,,48.5,,,,,,,,,,,,38.5,,,39.5,,,38.5,,,38.5,,,,,,,,,,,,35.5,,,36.5,,,35.5,,,35.5,,,,,,,,,,,,22.5,,,22.5,,,21.5,,,22.5,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Donovan Mitchell,2914530,4166,Donovan,Mitchell,CLE,PHI,https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7,/betting/nba/player/donovan-mitchell-odds-4166,25.5,,,25.5,,,25.5,,,26.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,3.5,,,,,,4.5,,,4.5,,,4.5,,,4.5,,,,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,34.5,,,34.5,,,33.5,,,35.5,,,,,,,,,,,,29.5,,,29.5,,,29.5,,,31.5,,,,,,,,,,,,30.5,,,30.5,,,29.5,,,31.5,,,,,,,,,,,,8.5,,,8.5,,,8.5,,,8.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Jaylen Brown,2914309,3894,Jaylen,Brown,BOS,WAS,https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7,/betting/nba/player/jaylen-brown-odds-3894,25.5,,,25.5,,,24.5,,,25.5,,,,,,,,,,,,5.5,,,5.5,,,5.5,,,,,,,,,5.5,,,,,,4.5,,,4.5,,,4.5,,,4.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,35.5,,,36.5,,,35.5,,,35.5,,,,,,,,,,,,30.5,,,31.5,,,30.5,,,30.5,,,,,,,,,,,,30.5,,,30.5,,,30.5,,,30.5,,,,,,,,,,,,10.5,,,10.5,,,10.5,,,10.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Kevin Durant,2915101,2811,Kevin,Durant,HOU,@MEM,https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7,/betting/nba/player/kevin-durant-odds-2811,25.5,,,25.5,,,25.5,,,25.5,,,,,,,,,,,,5.5,,,5.5,,,5.5,,,,,,,,,5.5,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,34.5,,,34.5,,,34.5,,,34.5,,,,,,,,,,,,31.5,,,31.5,,,31.5,,,31.5,,,,,,,,,,,,29.5,,,29.5,,,29.5,,,29.5,,,,,,,,,,,,8.5,,,8.5,,,8.5,,,8.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Anthony Edwards,2915186,5110,Anthony,Edwards,MIN,@NYK,https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7,/betting/nba/player/anthony-edwards-odds-5110,25.5,,,25.5,,,25.5,,,,,,,,,25.5,,,,,,4.5,,,4.5,,,,,,,,,4.5,,,4.5,,,,,,4.5,,,4.5,,,3.5,,,,,,,,,4.5,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,34.5,,,35.5,,,,,,,,,35.5,,,,,,30.5,,,30.5,,,31.5,,,,,,,,,31.5,,,,,,30.5,,,29.5,,,30.5,,,,,,,,,30.5,,,,,,,,,9.5,,,8.5,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Lauri Markkanen,2914722,4119,Lauri,Markkanen,UTA,@DET,https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=7,/betting/nba/player/lauri-markkanen-odds-4119,24.5,,,25.5,,,24.5,,,25.5,,,,,,,,,,,,6.5,,,6.5,,,6.5,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,2.5,,,3.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,34.5,,,33.5,,,34.5,,,33.5,,,,,,,,,,,,31.5,,,31.5,,,31.5,,,32.5,,,,,,,,,,,,27.5,,,27.5,,,26.5,,,27.5,,,,,,,,,,,,,,,8.5,,,8.5,,,7.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Austin Reaves,2915070,5334,Austin,Reaves,LAL,SAS,https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7,/betting/nba/player/austin-reaves-odds-5334,24.5,,,24.5,,,24.5,,,24.5,,,,,,,,,,,,4.5,,,4.5,,,4.5,,,,,,,,,4.5,,,,,,6.5,,,6.5,,,6.5,,,6.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,3.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,35.5,,,36.5,,,35.5,,,35.5,,,,,,,,,,,,28.5,,,28.5,,,28.5,,,28.5,,,,,,,,,,,,31.5,,,31.5,,,31.5,,,31.5,,,,,,,,,,,,11.5,,,11.5,,,11.5,,,11.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Cam Thomas,2914950,5360,Cam,Thomas,BKN,@IND,https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=7,/betting/nba/player/cam-thomas-odds-5360,,,,24.5,,,23.5,,,24.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,,,,,,,2.5,,,,,,3.5,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,31.5,,,31.5,,,30.5,,,31.5,,,,,,,,,,,,27.5,,,27.5,,,27.5,,,27.5,,,,,,,,,,,,28.5,,,28.5,,,27.5,,,28.5,,,,,,,,,,,,6.5,,,6.5,,,6.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Zach LaVine,2914793,3597,Zach,LaVine,SAC,GSW,https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7,/betting/nba/player/zach-lavine-odds-3597,23.5,,,22.5,,,23.5,,,23.5,,,,,,,,,,,,3.5,,,3.5,,,4.5,,,,,,,,,3.5,,,,,,3.5,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,2.5,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,29.5,,,29.5,,,29.5,,,30.5,,,,,,,,,,,,26.5,,,26.5,,,26.5,,,27.5,,,,,,,,,,,,26.5,,,26.5,,,26.5,,,26.5,,,,,,,,,,,,6.5,,,6.5,,,6.5,,,7.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Jimmy Butler,2914793,3231,Jimmy,Butler,GSW,@SAC,https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7,/betting/nba/player/jimmy-butler-odds-3231,,,,,,,,,,22.5,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,28.5,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Jonathan Kuminga,2914793,5287,Jonathan,Kuminga,GSW,@SAC,https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7,/betting/nba/player/jonathan-kuminga-odds-5287,22.5,,,21.5,,,22.5,,,21.5,,,,,,,,,,,,6.5,,,5.5,,,6.5,,,,,,,,,6.5,,,,,,3.5,,,3.5,,,3.5,,,3.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,31.5,,,31.5,,,31.5,,,31.5,,,,,,,,,,,,28.5,,,28.5,,,28.5,,,27.5,,,,,,,,,,,,25.5,,,25.5,,,25.5,,,24.5,,,,,,,,,,,,,,,9.5,,,9.5,,,9.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Ja Morant,2915101,4761,Ja,Morant,MEM,HOU,https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7,/betting/nba/player/ja-morant-odds-4761,21.5,,,22.5,,,21.5,,,22.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,3.5,,,,,,7.5,,,7.5,,,7.5,,,7.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,33.5,,,33.5,,,33.5,,,34.5,,,,,,,,,,,,25.5,,,26.5,,,25.5,,,26.5,,,,,,,,,,,,29.5,,,29.5,,,29.5,,,30.5,,,,,,,,,,,,11.5,,,10.5,,,11.5,,,11.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Jamal Murray,2914810,3882,Jamal,Murray,DEN,MIA,https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=7,/betting/nba/player/jamal-murray-odds-3882,20.5,,,20.5,,,20.5,,,22.5,,,,,,,,,,,,3.5,,,3.5,,,3.5,,,,,,,,,3.5,,,,,,5.5,,,5.5,,,5.5,,,5.5,,,,,,,,,,,,2.5,,,2.5,,,2.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,30.5,,,30.5,,,30.5,,,31.5,,,,,,,,,,,,24.5,,,24.5,,,24.5,,,25.5,,,,,,,,,,,,26.5,,,26.5,,,26.5,,,27.5,,,,,,,,,,,,9.5,,,9.5,,,9.5,,,8.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Karl-Anthony Towns,2915186,3741,Karl-Anthony,Towns,NYK,MIN,https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7,/betting/nba/player/karl-anthony-towns-odds-3741,22.5,,,22.5,,,22.5,,,22.5,,,,,,22.5,,,,,,11.5,,,11.5,,,11.5,,,,,,12.5,,,11.5,,,,,,2.5,,,2.5,,,3.5,,,2.5,,,,,,3.5,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,1.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,37.5,,,37.5,,,37.5,,,37.5,,,,,,38.5,,,,,,34.5,,,34.5,,,33.5,,,34.5,,,,,,34.5,,,,,,25.5,,,25.5,,,25.5,,,25.5,,,,,,25.5,,,,,,15.5,,,15.5,,,14.5,,,14.5,,,,,,15.5,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Deni Avdija,2914895,5152,Deni,Avdija,POR,OKC,https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7,/betting/nba/player/deni-avdija-odds-5152,20.5,,,20.5,,,20.5,,,21.5,,,,,,,,,,,,6.5,,,6.5,,,6.5,,,,,,,,,6.5,,,,,,4.5,,,4.5,,,4.5,,,4.5,,,,,,,,,,,,1.5,,,1.5,,,1.5,,,2.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,32.5,,,32.5,,,32.5,,,33.5,,,,,,,,,,,,27.5,,,27.5,,,27.5,,,28.5,,,,,,,,,,,,25.5,,,25.5,,,25.5,,,26.5,,,,,,,,,,,,11.5,,,10.5,,,11.5,,,11.5,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
Julius Randle,2915186,3574,Julius,Randle,MIN,@NYK,https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7,/betting/nba/player/julius-randle-odds-3574,20.5,,,20.5,,,20.5,,,21.5,,,,,,20.5,,,,,,6.5,,,6.5,,,6.5,,,,,,6.5,,,6.5,,,,,,5.5,,,5.5,,,4.5,,,5.5,,,,,,5.5,,,,,,1.5,,,1.5,,,1.5,,,1.5,,,,,,1.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,32.5,,,32.5,,,32.5,,,32.5,,,,,,33.5,,,,,,27.5,,,27.5,,,27.5,,,27.5,,,,,,27.5,,,,,,26.5,,,26.5,,,26.5,,,26.5,,,,,,26.5,,,,,,11.5,,,11.5,,,11.5,,,11.5,,,,,,11.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,2025-11-05,2025-11-05,mgm
