player,team,opponent,game_date,market,book,line,over_odds,under_odds
Nikola Jokic,DEN,SAC,2025-11-22,PTS,mgm,29.5,-110.0,-120.0
Jalen Brunson,NYK,@ORL,2025-11-22,PTS,mgm,28.5,-110.0,-118.0
Cade Cunningham,DET,@MIL,2025-11-22,PTS,mgm,27.5,-110.0,-118.0
Franz Wagner,ORL,NYK,2025-11-22,PTS,mgm,23.5,-118.0,-110.0
Jalen Johnson,ATL,@NOP,2025-11-22,PTS,mgm,22.5,-125.0,-105.0
Jamal Murray,DEN,SAC,2025-11-22,PTS,mgm,23.5,-115.0,-118.0
Ryan Rollins,MIL,DET,2025-11-22,PTS,mgm,21.5,-110.0,-120.0
Karl-Anthony Towns,NYK,@ORL,2025-11-22,PTS,mgm,22.5,-110.0,-120.0
Desmond Bane,ORL,NYK,2025-11-22,PTS,mgm,20.5,-110.0,-120.0
Josh Giddey,CHI,WAS,2025-11-22,PTS,mgm,21.5,-115.0,-115.0
Trey Murphy,NOP,ATL,2025-11-22,PTS,mgm,21.5,-110.0,-118.0
Zach LaVine,SAC,@DEN,2025-11-22,PTS,mgm,18.5,-110.0,-120.0
Coby White,CHI,WAS,2025-11-22,PTS,mgm,20.5,-115.0,-115.0
Nickeil Alexander-Walker,ATL,@NOP,2025-11-22,PTS,mgm,19.5,-110.0,-120.0
Nikola Vucevic,CHI,WAS,2025-11-22,PTS,mgm,17.5,-130.0,-105.0
Santi Aldama,MEM,@DAL,2025-11-22,PTS,mgm,16.5,-125.0,-105.0
DeMar DeRozan,SAC,@DEN,2025-11-22,PTS,mgm,17.5,-110.0,-120.0
Jalen Duren,DET,@MIL,2025-11-22,PTS,mgm,18.5,100.0,-130.0
Cooper Flagg,DAL,MEM,2025-11-22,PTS,mgm,17.5,-115.0,-115.0
Kristaps Porzingis,ATL,@NOP,2025-11-22,PTS,mgm,17.5,-110.0,-120.0
Alex Sarr,WAS,@CHI,2025-11-22,PTS,mgm,17.5,-105.0,-125.0
Cedric Coward,MEM,@DAL,2025-11-22,PTS,mgm,15.5,-115.0,-115.0
CJ McCollum,WAS,@CHI,2025-11-22,PTS,mgm,17.5,-118.0,-110.0
Jalen Suggs,ORL,NYK,2025-11-22,PTS,mgm,15.5,-118.0,-110.0
P.J. Washington,DAL,MEM,2025-11-22,PTS,mgm,16.5,-105.0,-125.0
Mikal Bridges,NYK,@ORL,2025-11-22,PTS,mgm,16.5,100.0,-135.0
