player,team,is_starter,start_prob
D. Russell,DAL,1,0.7
Max Christie,DAL,1,0.7
Cooper Flagg,DAL,1,0.7
P. Washington,DAL,1,0.7
D. Gafford,DAL,1,0.7
CJ McCollum,WAS,1,0.7
Tre Johnson,WAS,1,0.7
K. George,WAS,1,0.7
J. Champagnie,WAS,1,0.7
Alex Sarr,WAS,1,0.7
I. Quickley,TOR,1,0.7
RJ Barrett,TOR,1,0.7
B. Ingram,TOR,1,0.7
S. Barnes,TOR,1,0.7
Ochai Agbaji,TOR,1,0.7
Tyrese Maxey,PHI,1,0.7
VJ Edgecombe,PHI,1,0.7
Kelly Oubre,PHI,1,0.7
T. Watford,PHI,1,0.7
Joel Embiid,PHI,1,0.7
Luka Doncic,LAL,1,0.7
Marcus Smart,LAL,1,0.7
Jake LaRavia,LAL,1,0.7
Rui Hachimura,LAL,1,0.7
Deandre Ayton,LAL,1,0.7
K. Wallace,ATL,1,0.7
Dyson Daniels,ATL,1,0.7
Z. Risacher,ATL,1,0.7
M. Gueye,ATL,1,0.7
O. Okongwu,ATL,1,0.7
Tre Jones,CHI,1,0.7
Josh Giddey,CHI,1,0.7
Isaac Okoro,CHI,1,0.7
Matas Buzelis,CHI,1,0.7
N. Vucevic,CHI,1,0.7
Jaylon Tyson,CLE,1,0.7
D. Mitchell,CLE,1,0.7
D. Hunter,CLE,1,0.7
Evan Mobley,CLE,1,0.7
Jarrett Allen,CLE,1,0.7
Jrue Holiday,POR,1,0.7
S. Sharpe,POR,1,0.7
T. Camara,POR,1,0.7
Deni Avdija,POR,1,0.7
D. Clingan,POR,1,0.7
Norman Powell,MIA,1,0.7
Pelle Larsson,MIA,1,0.7
A. Wiggins,MIA,1,0.7
Kel'el Ware,MIA,1,0.7
J. Fears,NOP,1,0.7
Trey Murphy,NOP,1,0.7
Saddiq Bey,NOP,1,0.7
Herbert Jones,NOP,1,0.7
Kevon Looney,NOP,1,0.7
De'Aaron Fox,SAS,1,0.7
S. Castle,SAS,1,0.7
Devin Vassell,SAS,1,0.7
H. Barnes,SAS,1,0.7
V. Wembanyama,SAS,1,0.7
A. Nembhard,IND,1,0.7
Aaron Nesmith,IND,1,0.7
Jarace Walker,IND,1,0.7
Pascal Siakam,IND,1,0.7
I. Jackson,IND,1,0.7
C. Braun,DEN,1,0.7
C. Johnson,DEN,1,0.7
Nikola Jokic,DEN,1,0.7
J. Murray,DEN,1,0.42
Devin Booker,PHX,1,0.7
Jalen Green,PHX,1,0.7
Royce O'Neale,PHX,1,0.7
Bradley Beal,LAC,1,0.7
Nicolas Batum,LAC,1,0.7
Derrick Jones,LAC,1,0.7
Ivica Zubac,LAC,1,0.7
J. Harden,LAC,1,0.42
