Player,Pos,Team,CR,Enhanced_Projection,Role
T. Dorsey,G,,11.5,179.25420042683086,Active
N. Hifi,G,,13.3,267.0699613989284,CAPTAIN
I. Mike,F,,8.8,145.84494984817675,Active
H. Diallo,F,,10.6,167.7699210482149,Active
M. Ndiaye,C,,7.2,90.7118544140123,Active
M. Wright,C,,12.0,173.82124411050472,Active
A. Obst,G,,7.8,147.84644442003523,Substitute
S. Herrera,G,,5.2,88.53259922165927,Substitute
O. Moore,G,,11.4,168.82674601169103,Substitute
T. Luwawu-cabarrot,F,,11.9,208.18044398703572,Substitute
