Player,Pos,Team,CR,Enhanced_Projection,Role
A. Obst,G,,8.2,146.35645437149086,Active
N. Hifi,G,,14.0,262.6521213240658,CAPTAIN
I. Mike,F,,9.4,146.42724826206037,Active
F. Petrusev,F,,15.3,254.68588054016445,Active
T. Luwawu-cabarrot,F,,12.0,208.32506989705425,Active
M. Ndiaye,C,,7.7,91.37900560797284,Active
S. Herrera,G,,5.7,77.24394630173472,Substitute
W. Baldwin Iv,G,,12.0,184.77065489672154,Substitute
E. Osmani,F,,9.0,131.3960596385902,Substitute
L. Birutis,C,,6.3,77.55332856546661,Substitute
