Player,Pos,Team,CR,Enhanced_Projection,Role
C. Miller-mcintyre,G,,12.4,185.12617411520137,Active
N. Hifi,G,,14.0,267.67625886400333,CAPTAIN
T. Luwawu-cabarrot,F,,12.0,209.06761277634206,Active
I. Mike,F,,9.4,146.3469083707451,Active
L. Birutis,C,,6.3,77.99837657367154,Active
M. Ndiaye,C,,7.7,91.23756119801362,Active
S. Herrera,G,,5.7,76.63365415768861,Substitute
A. Obst,G,,8.2,147.11628840861252,Substitute
E. Osmani,F,,9.0,131.4670326051631,Substitute
F. Petrusev,F,,15.3,256.27577236695083,Substitute
