Player,Pos,Team,CR,Enhanced_Projection,Role
S. Herrera,G,,5.7,77.0346829668352,Active
N. Hifi,G,,14.0,268.69707293147405,CAPTAIN
T. Luwawu-cabarrot,F,,12.0,208.2967454951395,Active
E. Osmani,F,,9.0,130.69032690233715,Active
I. Mike,F,,9.4,145.56039616103268,Active
L. Birutis,C,,6.3,77.95969993294085,Active
C. Miller-mcintyre,G,,12.4,186.05169135789436,Substitute
A. Obst,G,,8.2,147.88414165541093,Substitute
F. Petrusev,F,,15.3,254.91593828872854,Substitute
M. Ndiaye,C,,7.7,91.14402230187704,Substitute
